iter	Passed	Remaining
0	57	57775
1	58	29093
2	58	19516
3	59	14711
4	59	11818
5	60	10006
6	60	8618
7	61	7570
8	62	6858
9	62	6196
10	62	5653
11	63	5209
12	64	4870
13	64	4539
14	64	4255
15	65	4004
16	65	3785
17	65	3588
18	66	3412
19	66	3252
20	67	3143
21	67	3009
22	67	2887
23	68	2780
24	68	2678
25	69	2609
26	69	2522
27	70	2440
28	70	2363
29	70	2292
30	71	2231
31	71	2170
32	72	2111
33	72	2055
34	72	2003
35	73	1954
36	73	1909
37	73	1868
38	74	1823
39	74	1782
40	74	1743
41	74	1705
42	75	1670
43	75	1636
44	75	1603
45	75	1573
46	76	1543
47	76	1515
48	76	1488
49	76	1462
50	77	1437
51	77	1414
52	77	1390
53	78	1369
54	78	1350
55	78	1328
56	79	1310
57	79	1290
58	79	1273
59	80	1254
60	80	1236
61	80	1219
62	80	1202
63	81	1186
64	81	1172
65	81	1157
66	82	1143
67	83	1137
68	83	1124
69	83	1110
70	83	1096
71	84	1084
72	84	1072
73	84	1059
74	84	1047
75	85	1035
76	85	1023
77	85	1012
78	85	1001
79	86	991
80	86	981
81	86	972
82	87	962
83	87	952
84	88	951
85	88	942
86	88	932
87	89	923
88	89	920
89	90	911
90	90	903
91	90	895
92	90	887
93	91	879
94	91	872
95	92	866
96	92	859
97	92	853
98	92	845
99	93	838
100	93	831
101	93	824
102	93	817
103	94	811
104	94	804
105	94	800
106	95	794
107	95	788
108	95	782
109	96	777
110	96	772
111	96	767
112	97	762
113	97	757
114	97	751
115	97	746
116	98	741
117	98	736
118	98	731
119	99	731
120	100	727
121	100	722
122	100	718
123	101	713
124	101	708
125	101	704
126	101	700
127	102	695
128	102	691
129	102	687
130	102	682
131	103	682
132	104	678
133	104	674
134	104	670
135	104	666
136	105	663
137	106	664
138	106	660
139	106	656
140	107	657
141	108	653
142	108	648
143	108	645
144	108	641
145	109	638
146	109	634
147	109	630
148	109	627
149	110	624
150	110	620
151	110	617
152	110	613
153	111	610
154	111	607
155	111	604
156	111	601
157	112	597
158	112	594
159	112	591
160	112	587
161	112	584
162	113	581
163	113	578
164	113	575
165	113	571
166	114	568
167	114	566
168	114	563
169	114	560
170	115	557
171	115	554
172	115	551
173	115	548
174	115	546
175	116	543
176	116	541
177	116	539
178	117	536
179	117	534
180	117	531
181	117	529
182	118	526
183	118	524
184	118	522
185	118	519
186	119	517
187	119	514
188	119	512
189	119	510
190	119	508
191	120	506
192	120	503
193	120	501
194	120	499
195	121	496
196	121	494
197	121	491
198	121	489
199	121	487
200	122	484
201	122	483
202	122	481
203	122	479
204	123	477
205	123	475
206	123	473
207	123	471
208	124	469
209	124	467
210	124	466
211	125	467
212	125	465
213	126	463
214	126	461
215	126	459
216	126	457
217	126	455
218	127	453
219	127	451
220	127	449
221	127	447
222	128	446
223	128	444
224	128	442
225	128	440
226	128	438
227	128	436
228	129	435
229	129	433
230	129	431
231	129	429
232	129	427
233	130	425
234	130	423
235	130	421
236	130	419
