iter	Passed	Remaining
0	0	383
1	0	278
2	0	318
3	1	290
4	1	280
5	1	275
6	1	248
7	1	241
8	2	234
9	2	234
10	2	229
11	2	227
12	2	225
13	3	226
14	3	225
15	3	223
16	3	223
17	4	223
18	4	223
19	4	222
20	4	222
21	5	223
22	5	219
23	5	221
24	5	221
25	5	220
26	6	224
27	6	224
28	6	226
29	7	228
30	7	227
31	7	228
32	7	227
33	7	226
34	8	225
35	8	224
36	8	224
37	8	224
38	9	222
39	9	221
40	9	220
41	9	218
42	9	220
43	10	222
44	10	222
45	10	222
46	10	222
47	11	221
48	11	220
49	11	220
50	11	220
51	12	220
52	12	221
53	12	221
54	12	220
55	13	220
56	13	222
57	13	222
58	13	221
59	14	221
60	14	221
61	14	220
62	14	220
63	15	219
64	15	219
65	15	219
66	15	218
67	15	218
68	16	217
69	16	217
70	16	217
71	16	215
72	16	215
73	17	214
74	17	212
75	17	213
76	17	211
77	17	209
78	17	209
79	18	209
80	18	209
81	18	209
82	18	208
83	19	208
84	19	207
85	19	206
86	19	207
87	19	207
88	20	206
89	20	206
90	20	205
91	20	206
92	21	205
93	21	204
94	21	204
95	21	204
96	21	204
97	22	204
98	22	203
99	22	204
100	22	202
101	22	202
102	23	202
103	23	202
104	23	201
105	23	201
106	24	201
107	24	201
108	24	199
109	24	199
110	24	198
111	25	198
112	25	197
113	25	195
114	25	195
115	25	195
116	25	195
117	26	194
118	26	194
119	26	194
120	26	194
121	26	193
122	27	193
123	27	193
124	27	193
125	27	192
126	28	193
127	28	193
128	28	192
129	28	192
130	29	192
131	29	192
132	29	193
133	29	193
134	30	193
135	30	192
136	30	192
137	30	192
138	30	191
139	31	190
140	31	191
141	31	190
142	31	190
143	31	189
144	32	189
145	32	188
146	32	188
147	32	188
148	32	187
149	32	186
150	33	186
151	33	186
152	33	186
153	33	185
154	34	185
155	34	185
156	34	185
157	34	184
158	34	184
159	35	183
160	35	183
161	35	183
162	35	183
163	36	184
164	36	184
165	36	183
166	36	183
167	37	183
168	37	183
169	37	183
170	37	182
171	37	182
172	37	181
173	38	181
174	38	180
175	38	180
176	38	180
177	39	180
178	39	180
179	39	179
180	39	178
181	39	178
182	39	178
183	40	178
184	40	177
185	40	178
186	40	177
187	41	177
188	41	177
189	41	177
190	41	177
191	42	176
192	42	176
193	42	176
194	42	176
195	42	175
196	43	175
197	43	175
198	43	175
199	43	175
200	44	174
201	44	174
202	44	174
203	44	174
204	44	174
205	45	174
206	45	174
207	45	174
208	46	174
209	46	174
210	46	174
211	46	173
212	46	173
213	47	173
214	47	173
215	47	172
216	47	172
217	48	172
218	48	172
219	48	172
220	48	172
221	49	171
222	49	171
223	49	171
224	49	171
225	50	171
226	50	170
227	50	170
228	50	170
229	50	170
230	51	170
231	51	169
232	51	169
233	51	169
234	51	169
235	52	169
236	52	168
237	52	168
238	52	168
239	53	168
240	53	168
241	53	168
242	53	168
243	54	167
244	54	167
245	54	167
246	54	167
247	55	167
248	55	167
249	55	166
250	55	166
251	56	166
252	56	166
253	56	166
254	56	165
255	56	165
256	57	165
257	57	165
258	57	164
259	57	164
260	58	164
261	58	164
262	58	163
263	58	163
264	58	163
265	59	163
266	59	163
267	59	163
268	60	163
269	60	162
270	60	162
271	60	162
272	61	162
273	61	162
274	61	162
275	61	162
276	62	162
277	62	162
278	62	161
279	62	161
280	62	161
281	63	160
282	63	160
283	63	160
